Corr_Threshold,Cum_Threshold,Combo_Label,Model,Num_Features,Accuracy,Accuracy_CI_Lower,Accuracy_CI_Upper,F1_Macro,F1_Macro_CI_Lower,F1_Macro_CI_Upper,F1_Weighted,F1_Weighted_CI_Lower,F1_Weighted_CI_Upper,Precision_Macro,Precision_Macro_CI_Lower,Precision_Macro_CI_Upper,Recall_Macro,Recall_Macro_CI_Lower,Recall_Macro_CI_Upper,CV_F1_Mean,CV_F1_Std,CV_F1_Best_Fold
0.70,0.900000,Corr70_Cum90,LightGBM,32,0.960784,0.901961,1.000000,0.959436,0.889609,1.000000,0.960681,0.899696,1.000000,0.963845,0.901147,1.000000,0.957351,0.880931,1.000000,0.927759,0.050365,1.000000
0.70,0.950000,Corr70_Cum95,KNN,39,0.960784,0.901961,1.000000,0.954762,0.863713,1.000000,0.959524,0.891552,1.000000,0.977011,0.940476,1.000000,0.939394,0.833333,1.000000,0.928535,0.062459,1.000000
0.70,0.950000,Corr70_Cum95,SVM,39,0.901961,0.823529,0.980392,0.890685,0.782288,0.972664,0.899294,0.811345,0.979994,0.903439,0.795897,0.987179,0.884400,0.778261,0.977011,0.930723,0.057412,1.000000
0.70,0.950000,Corr70_Cum95,MLP,39,0.921569,0.843137,0.980392,0.918166,0.825918,0.983399,0.921008,0.839834,0.980589,0.930864,0.852963,0.988506,0.914703,0.825933,0.988889,0.927372,0.033758,1.000000
0.70,0.950000,Corr70_Cum95,LightGBM,39,0.960784,0.901961,1.000000,0.959436,0.889609,1.000000,0.960681,0.899696,1.000000,0.963845,0.901147,1.000000,0.957351,0.880931,1.000000,0.933725,0.046007,1.000000
0.70,1.000000,Corr70_Cum100,KNN,69,0.921569,0.843137,0.980392,0.914703,0.818684,0.981371,0.921569,0.839605,0.981007,0.914703,0.815424,0.988898,0.914703,0.818515,0.989906,0.918884,0.058821,1.000000
0.70,1.000000,Corr70_Cum100,SVM,69,0.960784,0.901961,1.000000,0.954762,0.881973,1.000000,0.959524,0.895592,1.000000,0.977011,0.942029,1.000000,0.939394,0.857143,1.000000,0.931558,0.051623,1.000000
0.70,1.000000,Corr70_Cum100,MLP,69,0.941176,0.882353,1.000000,0.941450,0.862107,1.000000,0.941555,0.877982,1.000000,0.942735,0.872153,1.000000,0.945006,0.870368,1.000000,0.923446,0.060599,1.000000
0.70,1.000000,Corr70_Cum100,LightGBM,69,0.941176,0.862745,1.000000,0.938483,0.858352,1.000000,0.940985,0.864519,1.000000,0.933067,0.846289,1.000000,0.945006,0.869039,1.000000,0.944078,0.048053,1.000000
0.75,0.800000,Corr75_Cum80,KNN,24,0.901961,0.803922,0.980392,0.884340,0.767173,0.973602,0.896189,0.787092,0.979977,0.931746,0.859247,0.988115,0.866442,0.760346,0.962963,0.899014,0.069702,1.000000
0.75,0.800000,Corr75_Cum80,SVM,24,0.921569,0.843137,0.980392,0.918166,0.811496,0.982492,0.921008,0.838576,0.980592,0.930864,0.856710,0.988506,0.914703,0.811810,0.988506,0.917843,0.074242,1.000000
0.75,0.800000,Corr75_Cum80,MLP,24,0.901961,0.803922,0.980392,0.893256,0.783099,0.977488,0.899609,0.799749,0.980079,0.919841,0.838264,0.981494,0.884400,0.780000,0.980406,0.898009,0.067918,1.000000
0.75,0.800000,Corr75_Cum80,LightGBM,24,0.960784,0.901961,1.000000,0.954762,0.863713,1.000000,0.959524,0.891552,1.000000,0.977011,0.940476,1.000000,0.939394,0.833333,1.000000,0.954381,0.043121,1.000000
0.75,0.850000,Corr75_Cum85,KNN,28,0.901961,0.803922,0.980392,0.884340,0.767173,0.973602,0.896189,0.787092,0.979977,0.931746,0.859247,0.988115,0.866442,0.760346,0.962963,0.912212,0.071579,1.000000
0.75,0.850000,Corr75_Cum85,SVM,28,0.941176,0.862745,1.000000,0.936139,0.845792,1.000000,0.940114,0.859654,1.000000,0.952381,0.885397,1.000000,0.927048,0.833796,1.000000,0.921574,0.047466,1.000000
